Cluster,BM,BM & Prog., Chondrocytes,Embryonic_stem_cells,Epithelial_cells,Fibroblasts,Keratinocytes,MSC,Neurons,Osteoblasts,Other,Pro-Myelocyte,Smooth_muscle_cells,Tissue_stem_cells,iPS_cells
0,0,1,3202,4,135,536,17,1258,12,16,2,0,1195,171,35
1,0,0,15,3,4057,33,735,33,3,1,0,0,3,32,6
2,0,0,0,0,2299,3,1590,0,0,0,1,0,0,1,0
3,0,0,0,0,2200,1,1295,0,0,0,0,0,0,1,0
4,0,0,1,0,1643,7,1784,0,0,0,1,0,0,4,0
5,12,1,11,2,1771,18,1363,4,0,0,18,2,1,19,2
6,0,0,0,0,1433,1,1429,1,0,0,0,0,0,1,0
7,1,1,1,0,1050,9,857,0,0,0,0,1,1,5,0
8,0,0,1546,0,4,93,2,108,0,1,0,0,62,7,3
9,1,0,1,0,4,2,451,0,0,0,0,0,0,1,3
10,0,1,220,13,117,173,21,232,85,5,4,1,95,68,13
11,0,0,691,1,71,8,5,32,4,0,1,0,5,4,3
12,94,47,12,0,43,17,24,1,2,0,11,9,3,8,0
